participant_ID,n_filler,n_fa,fa_rate
232,96,15,0.15625
235,96,22,0.22916666666666666
236,96,15,0.15625
241,96,21,0.21875
242,96,2,0.020833333333333332
243,96,7,0.07291666666666667
245,96,18,0.1875
246,96,6,0.0625
247,96,4,0.041666666666666664
249,96,23,0.23958333333333334
251,96,41,0.4270833333333333
252,96,10,0.10416666666666667
253,96,12,0.125
254,96,30,0.3125
256,96,18,0.1875
257,96,14,0.14583333333333334
258,96,7,0.07291666666666667
259,96,28,0.2916666666666667
260,96,7,0.07291666666666667
261,96,25,0.2604166666666667
262,96,6,0.0625
263,96,17,0.17708333333333334
264,96,12,0.125
266,96,12,0.125
267,96,20,0.20833333333333334
269,96,3,0.03125
270,96,1,0.010416666666666666
271,96,59,0.6145833333333334
273,96,6,0.0625
276,96,12,0.125
277,96,21,0.21875
279,96,10,0.10416666666666667
280,96,8,0.08333333333333333
281,96,37,0.3854166666666667
282,96,24,0.25
283,96,6,0.0625
285,96,6,0.0625
286,96,12,0.125
289,96,9,0.09375
290,96,9,0.09375
292,96,38,0.3958333333333333
293,96,9,0.09375
294,96,33,0.34375
295,96,5,0.052083333333333336
296,96,12,0.125
297,96,38,0.3958333333333333
298,96,9,0.09375
299,32,8,0.25
302,96,18,0.1875
303,96,5,0.052083333333333336
304,96,18,0.1875
305,96,14,0.14583333333333334
307,96,17,0.17708333333333334
308,96,30,0.3125
309,96,5,0.052083333333333336
310,96,10,0.10416666666666667
311,96,13,0.13541666666666666
312,96,15,0.15625
313,96,41,0.4270833333333333
314,96,14,0.14583333333333334
316,96,14,0.14583333333333334
317,96,23,0.23958333333333334
318,96,12,0.125
322,96,23,0.23958333333333334
323,96,6,0.0625
325,96,11,0.11458333333333333
326,96,14,0.14583333333333334
327,96,11,0.11458333333333333
328,96,15,0.15625
329,96,8,0.08333333333333333
330,96,21,0.21875
331,96,6,0.0625
333,96,36,0.375
339,96,31,0.3229166666666667
340,96,7,0.07291666666666667
342,96,41,0.4270833333333333
343,96,30,0.3125
344,96,6,0.0625
346,96,40,0.4166666666666667
350,96,8,0.08333333333333333
351,96,22,0.22916666666666666
354,96,10,0.10416666666666667
355,96,7,0.07291666666666667
356,96,13,0.13541666666666666
361,96,8,0.08333333333333333
362,96,11,0.11458333333333333
363,96,18,0.1875
364,96,3,0.03125
366,96,20,0.20833333333333334
367,96,44,0.4583333333333333
368,96,5,0.052083333333333336
369,96,11,0.11458333333333333
370,96,17,0.17708333333333334
371,96,8,0.08333333333333333
372,96,8,0.08333333333333333
373,96,41,0.4270833333333333
374,96,20,0.20833333333333334
375,96,9,0.09375
377,96,21,0.21875
378,96,10,0.10416666666666667
379,96,13,0.13541666666666666
380,96,5,0.052083333333333336
381,96,33,0.34375
382,96,13,0.13541666666666666
383,96,21,0.21875
384,96,9,0.09375
386,96,7,0.07291666666666667
390,96,15,0.15625
391,96,9,0.09375
392,96,23,0.23958333333333334
395,96,13,0.13541666666666666
396,96,5,0.052083333333333336
397,96,5,0.052083333333333336
398,96,16,0.16666666666666666
